,Building,Latitude,Longitude,No,Yes,cc_ratio
0,Anthropology and Art Practice,37.86983,-122.2552,25.0,199.0,0.8883928571428571
1,BAMPFA,37.87095,-122.2664,265.0,0.0,0.0
2,Barker ,37.87395,-122.26544,0.0,140.0,1.0
3,Bechtel,37.80648,-122.26363,227.0,0.0,0.0
4,Berkeley Way West,37.87355,-122.26793,75.0,0.0,0.0
5,Birge,37.87222,-122.25724,0.0,159.0,1.0
6,Cheit ,37.8717,-122.25425,75.0,0.0,0.0
7,Cory ,37.87505,-122.25784,51.0,289.0,0.85
8,Davis,37.87452,-122.25828,0.0,62.0,1.0
9,Donner,37.8746,-122.25647,0.0,87.0,1.0
10,Dwinelle ,37.8707,-122.26072,240.0,1860.0,0.8857142857142857
11,Etcheverry ,37.87568,-122.25928,72.0,330.0,0.8208955223880597
12,Evans,37.87362,-122.25768,592.0,339.0,0.364124597207304
13,Genetics and Plant Biology ,37.87343,-122.2647,110.0,204.0,0.6496815286624203
14,Giannini ,37.87351,-122.26231,40.0,50.0,0.5555555555555556
15,Goldman School of Public Policy,37.87567,-122.25798,0.0,86.0,1.0
16,Haas,37.87156,-122.25365,299.0,0.0,0.0
17,Haviland ,37.87382,-122.26112,18.0,87.0,0.8285714285714286
18,Hearst Annex,37.86943,-122.25818,0.0,309.0,1.0
19,Hearst Gym,37.86959,-122.25661,58.0,0.0,0.0
20,Hearst Mining,37.87448,-122.25729,48.0,160.0,0.7692307692307693
21,Hildebrand ,37.87266,-122.25571,70.0,0.0,0.0
22,Latimer ,37.87311,-122.25591,114.0,179.0,0.6109215017064846
23,Lewis ,37.87308,-122.25524,72.0,261.0,0.7837837837837838
24,Li Ka Shing,37.87296,-122.26544,0.0,297.0,1.0
25,McCone,37.87412,-122.25971,0.0,100.0,1.0
26,Moffitt Library,37.8725,-122.2608,49.0,354.0,0.8784119106699751
27,Morgan ,37.87326,-122.26423,0.0,182.0,1.0
28,Mulford ,37.87269,-122.26429,61.0,191.0,0.7579365079365079
29,North Gate,37.87488,-122.25945,0.0,139.0,1.0
30,Physics ,37.87262,-122.25714,123.0,618.0,0.8340080971659919
31,Pimentel,37.87342,-122.25603,0.0,527.0,1.0
32,Social Sciences ,37.87011,-122.25793,431.0,581.0,0.5741106719367589
33,Stanley ,37.87402,-122.2561,35.0,406.0,0.9206349206349206
34,Sutardja Dai,37.874869,-122.258347,30.0,198.0,0.868421052631579
35,Tan,37.8731,-122.25646,0.0,76.0,1.0
36,VLSB ,37.87147,-122.26252,180.0,723.0,0.8006644518272426
37,Weill,37.87142,-122.26327,91.0,0.0,0.0
38,Wheeler,37.87129,-122.25942,317.0,1276.0,0.8010043942247332
39,Wurster ,37.87057,-122.2549,48.0,61.0,0.5596330275229358
